,Unnamed: 0,Function,INTERPOLATION_MLP,INTERPOLATION_MLP_ReLU6,INTERPOLATION_NAC,INTERPOLATION_NALU,INTERPOLATION_INALU,EXTRAPOLATION_MLP,EXTRAPOLATION_MLP_ReLU6,EXTRAPOLATION_NAC,EXTRAPOLATION_NALU,EXTRAPOLATION_INALU
0,0,add,9.829149348661304e-06,0.7062729001045227,1.164153192248496e-12,1.153696894645691,0.0016753372037783,7.860350592636678e-09,43.48899841308594,7.68522994808868e-13,17.86178970336914,0.001447019749321
1,1,sub,5.779148750661989e-07,0.0399162583053112,2.3533174649433e-13,10.48787784576416,0.0011900915997102,1.1195002116437536e-06,8.87283706665039,3.548450324807745e-13,35.97146987915039,0.00023707430227659643
2,2,mul,5548.12841796875,16035.5322265625,15436.111328125,852.943115234375,0.0015692510642111,71244.9296875,54325.22265625,74272.1953125,33298.88671875,1.5117969098810136e-08
3,3,mul_neg,8699.7119140625,8212.140625,26616.609375,3232.18701171875,1.607330322265625,49386.30078125,36491.5,75911.4296875,19887.525390625,2.5017786811076803e-06
4,4,div,82.71844482421875,17.342254638671875,86.12367248535156,67.85159301757812,82.26152038574219,1343.95263671875,1373.087158203125,1347.36279296875,1392.420654296875,1295.3865966796875
5,5,squared,24634.0078125,7722.87158203125,121214.4609375,1289.3287353515625,0.0016088738339021,92861.1640625,209992.859375,355227.03125,129.38681030273438,0.20869147777557373
6,6,root,0.1565134078264236,0.0680308640003204,0.951472818851471,1.4578239643014967e-05,0.1603210419416427,1.454134464263916,0.2082864344120025,5.972806453704834,0.0074354195967316,3.025660276412964
